,Country,NOC,Region,Year,Per Capita GDP,Total Medals,Population,lat,lon
3,Afghanistan,AFG,ASIA (EXCLUDING MIDDLE EAST)         ,1960,59.7732337,0,8996967,33.7680065,66.2385139
4,Afghanistan,AFG,ASIA (EXCLUDING MIDDLE EAST)         ,1964,82.09530653,0,9744772,33.7680065,66.2385139
5,Afghanistan,AFG,ASIA (EXCLUDING MIDDLE EAST)         ,1968,129.108311,0,10637064,33.7680065,66.2385139
6,Afghanistan,AFG,ASIA (EXCLUDING MIDDLE EAST)         ,1972,135.317228,0,11791222,33.7680065,66.2385139
7,Afghanistan,AFG,ASIA (EXCLUDING MIDDLE EAST)         ,1980,272.6555102,0,13356500,33.7680065,66.2385139
10,Afghanistan,AFG,ASIA (EXCLUDING MIDDLE EAST)         ,2004,211.3820742,0,24726689,33.7680065,66.2385139
11,Afghanistan,AFG,ASIA (EXCLUDING MIDDLE EAST)         ,2008,364.660679,1,27722281,33.7680065,66.2385139
12,Afghanistan,AFG,ASIA (EXCLUDING MIDDLE EAST)         ,2012,641.871438,1,31161378,33.7680065,66.2385139
13,Afghanistan,AFG,ASIA (EXCLUDING MIDDLE EAST)         ,2016,509.2201005,0,35383028,33.7680065,66.2385139
28,Albania,ALB,EASTERN EUROPE                     ,1992,200.8522198,0,3247039,41.000028,19.9999619
29,Albania,ALB,EASTERN EUROPE                     ,1996,1009.977668,0,3168033,41.000028,19.9999619
30,Albania,ALB,EASTERN EUROPE                     ,2000,1126.683318,0,3089027,41.000028,19.9999619
31,Albania,ALB,EASTERN EUROPE                     ,2004,2373.579844,0,3026939,41.000028,19.9999619
32,Albania,ALB,EASTERN EUROPE                     ,2006,2972.743265,0,2992547,41.000028,19.9999619
33,Albania,ALB,EASTERN EUROPE                     ,2008,4370.540127,0,2947314,41.000028,19.9999619
34,Albania,ALB,EASTERN EUROPE                     ,2010,4094.350334,0,2913021,41.000028,19.9999619
35,Albania,ALB,EASTERN EUROPE                     ,2012,4247.629984,0,2900401,41.000028,19.9999619
36,Albania,ALB,EASTERN EUROPE                     ,2014,4578.631994,0,2889104,41.000028,19.9999619
37,Albania,ALB,EASTERN EUROPE                     ,2016,4124.055726,0,2876101,41.000028,19.9999619
53,Andorra,AND,WESTERN EUROPE                     ,1976,7151.249909,0,31782,42.5407167,1.5732033
54,Andorra,AND,WESTERN EUROPE                     ,1980,12378.78451,0,36063,42.5407167,1.5732033
55,Andorra,AND,WESTERN EUROPE                     ,1984,7728.906695,0,42706,42.5407167,1.5732033
56,Andorra,AND,WESTERN EUROPE                     ,1988,14304.6406,0,50433,42.5407167,1.5732033
57,Andorra,AND,WESTERN EUROPE                     ,1992,20549.80558,0,58882,42.5407167,1.5732033
58,Andorra,AND,WESTERN EUROPE                     ,1994,16235.06804,0,62676,42.5407167,1.5732033
59,Andorra,AND,WESTERN EUROPE                     ,1996,19016.28819,0,64363,42.5407167,1.5732033
60,Andorra,AND,WESTERN EUROPE                     ,1998,18895.11066,0,64140,42.5407167,1.5732033
61,Andorra,AND,WESTERN EUROPE                     ,2000,21854.2468,0,65390,42.5407167,1.5732033
62,Andorra,AND,WESTERN EUROPE                     ,2002,25067.24006,0,70048,42.5407167,1.5732033
63,Andorra,AND,WESTERN EUROPE                     ,2004,37966.18725,0,76250,42.5407167,1.5732033
64,Andorra,AND,WESTERN EUROPE                     ,2006,42674.75897,0,80995,42.5407167,1.5732033
65,Andorra,AND,WESTERN EUROPE                     ,2008,48719.65877,0,83860,42.5407167,1.5732033
66,Andorra,AND,WESTERN EUROPE                     ,2010,40850.24814,0,84454,42.5407167,1.5732033
67,Andorra,AND,WESTERN EUROPE                     ,2012,38686.46126,0,82427,42.5407167,1.5732033
68,Andorra,AND,WESTERN EUROPE                     ,2014,41303.92937,0,79213,42.5407167,1.5732033
69,Andorra,AND,WESTERN EUROPE                     ,2016,37475.63506,0,77295,42.5407167,1.5732033
102,Argentina,ARG,LATIN AMER. & CARIB    ,1964,1173.238105,2,21824427,-34.9964963,-64.9672817
103,Argentina,ARG,LATIN AMER. & CARIB    ,1968,1141.080432,2,23168268,-34.9964963,-64.9672817
104,Argentina,ARG,LATIN AMER. & CARIB    ,1972,1408.86538,2,24653172,-34.9964963,-64.9672817
105,Argentina,ARG,LATIN AMER. & CARIB    ,1976,1948.224686,0,26264681,-34.9964963,-64.9672817
106,Argentina,ARG,LATIN AMER. & CARIB    ,1980,2758.834817,0,27896532,-34.9964963,-64.9672817
107,Argentina,ARG,LATIN AMER. & CARIB    ,1984,2659.708242,0,29737097,-34.9964963,-64.9672817
108,Argentina,ARG,LATIN AMER. & CARIB    ,1988,3985.192469,14,31668939,-34.9964963,-64.9672817
109,Argentina,ARG,LATIN AMER. & CARIB    ,1992,6823.538837,2,33529320,-34.9964963,-64.9672817
110,Argentina,ARG,LATIN AMER. & CARIB    ,1994,7483.140334,0,34402669,-34.9964963,-64.9672817
111,Argentina,ARG,LATIN AMER. & CARIB    ,1996,7721.354105,39,35246376,-34.9964963,-64.9672817
112,Argentina,ARG,LATIN AMER. & CARIB    ,1998,8289.507568,0,36063451,-34.9964963,-64.9672817
113,Argentina,ARG,LATIN AMER. & CARIB    ,2000,7708.099115,37,36870796,-34.9964963,-64.9672817
114,Argentina,ARG,LATIN AMER. & CARIB    ,2002,2593.404563,0,37681743,-34.9964963,-64.9672817
115,Argentina,ARG,LATIN AMER. & CARIB    ,2004,4277.721573,105,38491970,-34.9964963,-64.9672817
116,Argentina,ARG,LATIN AMER. & CARIB    ,2006,5919.012338,0,39289876,-34.9964963,-64.9672817
117,Argentina,ARG,LATIN AMER. & CARIB    ,2008,9020.873323,91,40080159,-34.9964963,-64.9672817
118,Argentina,ARG,LATIN AMER. & CARIB    ,2010,10385.96443,0,40788453,-34.9964963,-64.9672817
119,Argentina,ARG,LATIN AMER. & CARIB    ,2012,13082.66433,36,41733271,-34.9964963,-64.9672817
120,Argentina,ARG,LATIN AMER. & CARIB    ,2014,12334.79825,0,42669500,-34.9964963,-64.9672817
121,Argentina,ARG,LATIN AMER. & CARIB    ,2016,12790.24247,65,43590368,-34.9964963,-64.9672817
122,Armenia,ARM,C.W. OF IND. STATES ,1994,400.5155938,0,3283664,40.7696272,44.6736646
123,Armenia,ARM,C.W. OF IND. STATES ,1996,504.0598426,5,3168213,40.7696272,44.6736646
124,Armenia,ARM,C.W. OF IND. STATES ,1998,609.1716537,0,3108691,40.7696272,44.6736646
125,Armenia,ARM,C.W. OF IND. STATES ,2000,622.7409229,1,3069597,40.7696272,44.6736646
126,Armenia,ARM,C.W. OF IND. STATES ,2002,783.241215,0,3033976,40.7696272,44.6736646
127,Armenia,ARM,C.W. OF IND. STATES ,2004,1191.921006,0,3000715,40.7696272,44.6736646
128,Armenia,ARM,C.W. OF IND. STATES ,2006,2158.148074,0,2958301,40.7696272,44.6736646
129,Armenia,ARM,C.W. OF IND. STATES ,2008,4010.861381,6,2907615,40.7696272,44.6736646
130,Armenia,ARM,C.W. OF IND. STATES ,2010,3218.378299,0,2877314,40.7696272,44.6736646
131,Armenia,ARM,C.W. OF IND. STATES ,2012,3681.844691,4,2884239,40.7696272,44.6736646
132,Armenia,ARM,C.W. OF IND. STATES ,2014,3986.231624,0,2912403,40.7696272,44.6736646
133,Armenia,ARM,C.W. OF IND. STATES ,2016,3591.828052,9,2936147,40.7696272,44.6736646
163,Australia,AUS,OCEANIA                            ,1960,1807.78571,92,10276477,-24.7761086,134.755
164,Australia,AUS,OCEANIA                            ,1964,2128.068355,66,11167000,-24.7761086,134.755
165,Australia,AUS,OCEANIA                            ,1968,2720.082609,96,12009000,-24.7761086,134.755
166,Australia,AUS,OCEANIA                            ,1972,3943.787639,49,13177000,-24.7761086,134.755
167,Australia,AUS,OCEANIA                            ,1976,7476.748748,38,14033000,-24.7761086,134.755
168,Australia,AUS,OCEANIA                            ,1980,10194.39454,27,14692000,-24.7761086,134.755
169,Australia,AUS,OCEANIA                            ,1984,12431.94585,80,15544000,-24.7761086,134.755
170,Australia,AUS,OCEANIA                            ,1988,14254.51356,77,16532200,-24.7761086,134.755
171,Australia,AUS,OCEANIA                            ,1992,18570.12046,112,17495000,-24.7761086,134.755
172,Australia,AUS,OCEANIA                            ,1994,18046.13648,4,17855000,-24.7761086,134.755
173,Australia,AUS,OCEANIA                            ,1996,21861.32551,212,18311000,-24.7761086,134.755
174,Australia,AUS,OCEANIA                            ,1998,21318.96417,1,18711000,-24.7761086,134.755
175,Australia,AUS,OCEANIA                            ,2000,21679.24784,372,19153000,-24.7761086,134.755
176,Australia,AUS,OCEANIA                            ,2002,20082.48327,6,19651400,-24.7761086,134.755
177,Australia,AUS,OCEANIA                            ,2004,30430.67644,332,20127400,-24.7761086,134.755
178,Australia,AUS,OCEANIA                            ,2006,36044.92281,4,20697900,-24.7761086,134.755
179,Australia,AUS,OCEANIA                            ,2008,49601.65671,253,21249200,-24.7761086,134.755
180,Australia,AUS,OCEANIA                            ,2010,52022.1256,8,22031750,-24.7761086,134.755
181,Australia,AUS,OCEANIA                            ,2012,68012.1479,187,22733465,-24.7761086,134.755
182,Australia,AUS,OCEANIA                            ,2014,62510.79117,5,23475686,-24.7761086,134.755
183,Australia,AUS,OCEANIA                            ,2016,49971.13146,162,24190907,-24.7761086,134.755
197,Austria,AUT,WESTERN EUROPE                     ,1960,935.4604269,17,7047539,47.2,13.2
198,Austria,AUT,WESTERN EUROPE                     ,1964,1269.412583,36,7223801,47.2,13.2
199,Austria,AUT,WESTERN EUROPE                     ,1968,1677.673528,36,7415403,47.2,13.2
200,Austria,AUT,WESTERN EUROPE                     ,1972,2924.048879,13,7544201,47.2,13.2
201,Austria,AUT,WESTERN EUROPE                     ,1976,5678.386658,14,7565525,47.2,13.2
202,Austria,AUT,WESTERN EUROPE                     ,1980,10869.54649,26,7549433,47.2,13.2
203,Austria,AUT,WESTERN EUROPE                     ,1984,8991.06504,7,7561434,47.2,13.2
204,Austria,AUT,WESTERN EUROPE                     ,1988,17578.61894,26,7585317,47.2,13.2
205,Austria,AUT,WESTERN EUROPE                     ,1992,24880.16412,69,7840709,47.2,13.2
206,Austria,AUT,WESTERN EUROPE                     ,1994,25646.70066,19,7936118,47.2,13.2
207,Austria,AUT,WESTERN EUROPE                     ,1996,29809.07677,4,7959017,47.2,13.2
208,Austria,AUT,WESTERN EUROPE                     ,1998,27361.87511,31,7976789,47.2,13.2
209,Austria,AUT,WESTERN EUROPE                     ,2000,24564.45829,11,8011566,47.2,13.2
210,Austria,AUT,WESTERN EUROPE                     ,2002,26401.74546,30,8081957,47.2,13.2
211,Austria,AUT,WESTERN EUROPE                     ,2004,36821.52147,18,8171966,47.2,13.2
212,Austria,AUT,WESTERN EUROPE                     ,2006,40635.28182,69,8268641,47.2,13.2
213,Austria,AUT,WESTERN EUROPE                     ,2008,51708.76575,4,8321496,47.2,13.2
214,Austria,AUT,WESTERN EUROPE                     ,2010,46858.04327,57,8363404,47.2,13.2
215,Austria,AUT,WESTERN EUROPE                     ,2012,48567.69529,0,8429991,47.2,13.2
216,Austria,AUT,WESTERN EUROPE                     ,2014,51717.49594,47,8546356,47.2,13.2
217,Austria,AUT,WESTERN EUROPE                     ,2016,45276.83144,2,8736668,47.2,13.2
218,Azerbaijan,AZE,C.W. OF IND. STATES ,1996,409.1631891,2,7763000,40.3936294,47.7872508
219,Azerbaijan,AZE,C.W. OF IND. STATES ,1998,561.9068079,0,7913000,40.3936294,47.7872508
220,Azerbaijan,AZE,C.W. OF IND. STATES ,2000,655.1199452,7,8048600,40.3936294,47.7872508
221,Azerbaijan,AZE,C.W. OF IND. STATES ,2002,763.080638,0,8171950,40.3936294,47.7872508
222,Azerbaijan,AZE,C.W. OF IND. STATES ,2004,1045.009379,7,8306500,40.3936294,47.7872508
223,Azerbaijan,AZE,C.W. OF IND. STATES ,2006,2473.081819,0,8484550,40.3936294,47.7872508
